Sequence	BIPA
pf_h	pfʰ
n_N	n̼
_nd_N	ⁿd̼
t_N	t̼
d_N	d̼
4_N	ɾ̼
r_N	r̼
T_N	θ̼
D_N	ð̼
t\x_N	ʇ̼
l_N	l̼
K_N	ɬ̼
K\_N	ɮ̼
d_p	ᶑ
b_d	b̪
p_d	p̪
r_j	rʲ
z_j	zʲ
s_m	s̻
oz_m	oz̻
n_m	n̻
l_m	l̻
dK\	dɮ
dz	dz
dz:	dzː
tK	tɬ
tK_h	tɬʰ
tK_>	tɬʼ
ts	ts
ts_h	tsʰ
ts:	tsː
ts_>	tsʼ
ts_j	tsʲ
r\	ɹ
r\_=	ɹ̩
l	l
l_G	lˠ
l:	lː
l_j	lʲ
l_=	l̩
l_0	l̥
g!\	gǃ
!\	ǃ
K\	ɮ
z	z
z_=	z̩
z_0	z̥
K	ɬ
K_>	ɬʼ
s	s
s:	sː
s_>	sʼ
s_j	sʲ
s_=	s̩
s_G	sˠ
s_v	s̬
n_k	n̰
n	n
n:	nː
n_j	nʲ
n_?\	nˤ
n_=	n̩
n_0	n̥
d_h\	dʱ
d_h\:	dʱː
d_k	d̰
d	d
d_h:	dʰː
d_h	dʰ
d:	dː
d_j	dʲ
d_?\	dˤ
_nd	ⁿd
d_0_}	d̥̚
d_n	dⁿ
d_0_n	d̥ⁿ
d_0	d̥
t	t
t_h	tʰ
t:	tː
t_>	tʼ
t_w[?]	tʷ
t_w[?]_h	tʷʰ
t_j	tʲ
t_j_h	tʲʰ
t_?\	tˤ
_ht	ʰt
_ht_h	ʰtʰ
_nt	ⁿt
t_}	t̚
t_n	tⁿ
t_v	t̬
R_R	ɺ
4	ɾ
4_0	ɾ̥
r	r
r~	r̃
r:	rː
r_?\	rˤ
r_=	r̩
r_0	r̥
l_h\	lʱ
r_?\:	rˤː
N!\	ŋǃ
N^0!\	ŋ̊ǃ
_?N!\	ˀŋǃ
_ng!\	ⁿgǃ
t\	ȶ
d\	ȡ
dz\	dʑ
dz\:	dʑː
ts\	tɕ
ts\_h	tɕʰ
ts\:	tɕː
l\	ȴ
z\	ʑ
s\	ɕ
n\	ȵ
n\^0	ȵ̊
bB	bβ
pp\	pɸ
B_o	β̞
B	β
B_w[?]	βʷ
p\	ɸ
b_<	ɓ
b_<_j	ɓʲ
m	m
m_h	mʰ
m:	mː
m_w[?]	mʷ
m_j	mʲ
m_=	m̩
m_G	mˠ
m_0	m̥
b_h\	bʱ
b_h\:	bʱː
b	b
b_h:	bʰː
b_h	bʰ
b_0_h	b̥ʰ
p_v	p̬
b:	bː
b_w[?]	bʷ
b_j	bʲ
_nb	ⁿb
b_}	b̚
b_n	bⁿ
b_G	bˠ
b_0	b̥
p	p
p_h	pʰ
p:	pː
p_>	pʼ
p_w[?]	pʷ
p_j	pʲ
p_h_j	pʰʲ
_hp	ʰp
_np	ⁿp
p_}	p̚
p_G	pˠ
B\	ʙ
B\_=	ʙ̩
B\_0	ʙ̥
m_h\	mʱ
p_h:	pʰː
b_?\:	bˤː
b_w[?]:	bʷː
m_w[?]:	mʷː
m_?\:	mˤː
dD	dð
d_dK\	d̪ɮ
dz_d	dz̪
dz_d:	dz̪ː
tT	tθ
ts_d_h	ts̪ʰ
tK_d	tɬ̪
tK_d_h	tɬ̪ʰ
tK_d_>	tɬ̪ʼ
ts_d	ts̪
ts_d:	ts̪ː
ts_d_>	ts̪ʼ
ts_d_j	ts̪ʲ
D_o	ð̞
l_d	l̪
l_d:	l̪ː
l_d_j	l̪ʲ
l_d_0	l̪̥
g|\	gǀ
|\	ǀ
D	ð
D:	ðː
z_d	z̪
z_d_0	z̪̥
T	θ
T:	θː
T_v	θ̬
K_d	ɬ̪
K_d_>	ɬ̪ʼ
s_d	s̪
s_d_>	s̪ʼ
s_d_j	s̪ʲ
s_d_G	s̪ˠ
d_<	ɗ
d_<_0	ɗ̥
n_d	n̪
n_d_G	n̪ˠ
d_d_h\	d̪ʱ
d_d_h\:	d̪ʱː
d_d_k	d̪̰
d_d	d̪
d_d:	d̪ː
d_d_j	d̪ʲ
d_d_?\	d̪ˤ
_nd_d	ⁿd̪
d_d_}	d̪̚
d_d_0_}	d̪̥̚
d_d_n	d̪ⁿ
d_d_0_n	d̪̥ⁿ
d_d_G	d̪ˠ
t_d	t̪
t_d_h	t̪ʰ
t_d:	t̪ː
t_d_>	t̪ʼ
t_d_w[?]	t̪ʷ
t_d_w[?]_h	t̪ʷʰ
t_d_j	t̪ʲ
t_d_h_j	t̪ʰʲ
t_d_?\	t̪ˤ
_ht_d	ʰt̪
_ht_d_h	ʰt̪ʰ
_nt_d	ⁿt̪
t_d_}	t̪̚
t_d_n	t̪ⁿ
t_d_G	t̪ˠ
r_d	r̪
r_d:	r̪ː
r_d_?\	r̪ˤ
r_d_0	r̪̥
t_d_h:	t̪ʰː
l_d_=	l̪̩
D_}	ð̚
N|\	ŋǀ
N^0|\	ŋ̊ǀ
_?N|\	ˀŋǀ
_ng|\	ⁿgǀ
<\	ʢ
H\	ʜ
>\	ʡ
?h	ʔh
h\	ɦ
h	h
h~	h̃
?	ʔ
?_w[?]	ʔʷ
?_j	ʔʲ
gO\[?]	gʘ
O\[?]	ʘ
NO\[?]	ŋʘ
N^0O\[?]	ŋ̊ʘ
_?NO\[?]	ˀŋʘ
_ngO\[?]	ⁿgʘ
H	ɥ
w	w
w:	wː
w~	w̃
w_G	wˠ
W	ʍ
V\	ⱱ
bv	bv
pf	pf
pf_>	pfʼ
v\	ʋ
v	v
v:	vː
v_j	vʲ
v_=	v̩
v_0	v̥
f	f
f_h	fʰ
f:	fː
f_>	fʼ
f_j	fʲ
f_G	fˠ
F	ɱ
F^0	ɱ̊
f_w[?]:	fʷː
g||	gǁ
||	ǁ
N||	ŋǁ
N^0||	ŋ̊ǁ
_?N||	ˀŋǁ
_ng||	ⁿgǁ
J\j\\	ɟʝ
cc_x	cç
j	j
j:	jː
j~	j̃
L	ʎ
L_0	ʎ̥
g=\	gǂ
=\	ǂ
j\\	ʝ
J\_<	ʄ
J	ɲ
J:	ɲː
J^'	ɲ̍
J^0	ɲ̊
c_x	ç
J\	ɟ
_nJ\	ⁿɟ
c	c
c_h	cʰ
c:	cː
c_>	cʼ
cc_x_h	cçʰ
j^0	j̊
N=\	ŋǂ
N^0=\	ŋ̊ǂ
_?N=\	ˀŋǂ
_ng=\	ⁿgǂ
x\[?]	ɧ
?\	ʕ
X\	ħ
S_w_j	ʃʲ
dZ_h\	dʒʱ
_ndZ	ⁿdʒ
dZ	dʒ
d:Z	dːʒ
dZ_j	dʒʲ
tS_w	tʃ
